Worker ID, File, Total Time (ms), lateFile?, totalSpans, parser nodes, typer nodes, LoC, LoC/s
7, app/navigation/PreTaskListNavigator.scala, 504, false, 43, 114, 268, 17, 34
6, app/controllers/goodsSummary/SealIdDetailsController.scala, 497, false, 99, 388, 624, 68, 137
5, app/controllers/guaranteeDetails/AccessCodeController.scala, 495, false, 87, 320, 564, 65, 131
1, app/controllers/transportDetails/NationalityCrossingBorderController.scala, 493, false, 101, 389, 626, 76, 154
1, app/models/reference/CustomsOffice.scala, 493, false, 71, 68, 645, 6, 12
1, target/scala-2.12/routes/main/controllers/transportDetails/javascript/JavaScriptReverseRoutes.scala, 491, false, 104, 1939, 2159, 310, 631
1, app/controllers/addItems/HowManyPackagesController.scala, 489, false, 91, 352, 638, 69, 141
5, app/controllers/movementDetails/DeclarationPlaceController.scala, 487, false, 87, 320, 564, 65, 133
0, app/controllers/addItems/CommodityCodeController.scala, 485, false, 87, 348, 628, 66, 136
7, app/controllers/routeDetails/DestinationCountryController.scala, 481, false, 101, 389, 626, 76, 158
5, app/controllers/addItems/traderDetails/TraderDetailsConsigneeAddressController.scala, 480, false, 91, 340, 599, 66, 138
5, app/viewModels/TransportDetailsCheckYourAnswersViewModel.scala, 480, false, 59, 154, 322, 33, 69
3, app/forms/mappings/LocalDateFormatter.scala, 478, false, 75, 426, 655, 64, 134
6, app/controllers/routeDetails/ConfirmRemoveOfficeOfTransitController.scala, 477, false, 111, 493, 789, 93, 195
0, app/controllers/movementDetails/ContainersUsedPageController.scala, 476, false, 87, 338, 660, 67, 141
7, app/controllers/movementDetails/RepresentativeNameController.scala, 476, false, 87, 320, 564, 65, 137
3, app/controllers/transportDetails/IdAtDepartureController.scala, 474, false, 87, 320, 564, 65, 137
3, app/repositories/SessionCollectionIndexManager.scala, 473, false, 50, 119, 206, 30, 63
6, app/controllers/addItems/AddTotalNetMassController.scala, 472, false, 87, 369, 727, 68, 144
0, app/pages/AddSecurityDetailsPage.scala, 470, false, 31, 30, 87, 6, 13
0, app/controllers/guaranteeDetails/GuaranteeReferenceController.scala, 468, false, 91, 368, 636, 74, 158
4, app/models/GuaranteeType.scala, 468, false, 69, 419, 1158, 74, 158
7, app/controllers/traderDetails/TraderDetailsCheckYourAnswersController.scala, 464, false, 69, 222, 371, 58, 125
3, app/controllers/transportDetails/InlandModeController.scala, 461, false, 101, 389, 626, 76, 165
7, app/utils/package.scala, 461, false, 77, 478, 1073, 82, 178
5, app/connectors/ReferenceDataConnector.scala, 460, false, 82, 376, 762, 46, 100
4, app/forms/OtherReferenceLiabilityAmountFormProvider.scala, 457, false, 34, 66, 105, 16, 35
6, app/models/ConsignorAddress.scala, 456, false, 72, 60, 619, 7, 15
5, app/viewModels/DateTimeInput.scala, 453, false, 115, 487, 1500, 83, 183
1, app/controllers/goodsSummary/TotalGrossMassController.scala, 448, false, 87, 320, 564, 65, 145
0, app/controllers/traderDetails/ConsignorEoriController.scala, 447, false, 87, 320, 564, 65, 145
6, app/utils/TransportDetailsCheckYourAnswersHelper.scala, 443, false, 69, 913, 2018, 148, 334
6, app/controllers/goodsSummary/ConfirmRemoveSealsController.scala, 442, false, 86, 316, 630, 63, 143
3, app/controllers/routeDetails/ArrivalTimesAtOfficeController.scala, 441, false, 106, 485, 761, 89, 202
6, app/controllers/ProcedureTypeController.scala, 441, false, 87, 333, 659, 67, 152
5, app/controllers/traderDetails/IsConsigneeEoriKnownController.scala, 439, false, 87, 338, 660, 67, 153
0, target/scala-2.12/routes/main/controllers/guaranteeDetails/javascript/JavaScriptReverseRoutes.scala, 438, false, 84, 1478, 1647, 235, 537
6, app/controllers/traderDetails/ConsigneeForAllItemsController.scala, 438, false, 89, 341, 669, 68, 155
4, app/pages/ConfirmRemoveSealsPage.scala, 435, false, 38, 80, 141, 17, 39
4, app/models/reference/TransportMode.scala, 433, false, 57, 48, 463, 6, 14
7, app/forms/DeclarePackagesFormProvider.scala, 433, false, 32, 36, 53, 10, 23
4, app/connectors/DepartureMovementConnector.scala, 428, false, 45, 91, 112, 13, 30
7, app/repositories/SessionRepository.scala, 420, false, 54, 178, 339, 35, 83
0, app/navigation/MovementDetailsNavigator.scala, 413, false, 55, 363, 668, 38, 92
2, app/models/messages/customsoffice/CustomsOfficeTransit.scala, 411, false, 64, 256, 518, 26, 63
5, app/controllers/AddSecurityDetailsController.scala, 410, false, 87, 337, 659, 67, 163
2, app/controllers/transportDetails/IdCrossingBorderController.scala, 405, false, 87, 320, 564, 65, 160
4, app/controllers/guaranteeDetails/GuaranteeDetailsCheckYourAnswersController.scala, 404, false, 65, 169, 292, 34, 84
7, app/controllers/DeclarationSummaryController.scala, 398, false, 66, 164, 273, 30, 75
2, app/models/package.scala, 395, false, 84, 769, 1244, 114, 289
5, app/controllers/IndexController.scala, 394, false, 47, 80, 112, 18, 46
5, app/utils/package.scala, 393, false, 77, 478, 1073, 82, 209
6, app/controllers/traderDetails/PrincipalNameController.scala, 393, false, 87, 320, 564, 65, 165
2, app/controllers/SessionExpiredController.scala, 392, false, 47, 80, 112, 18, 46
6, app/utils/package.scala, 391, false, 77, 478, 1073, 82, 210
7, app/controllers/TechnicalDifficultiesController.scala, 386, false, 55, 111, 170, 25, 65
7, app/controllers/UnauthorisedController.scala, 385, false, 47, 80, 112, 18, 47
